lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
800,6512,52339,0,NA,2017,below,shrub,261.8699951,2.5304899,740,0,0.0013054,0.235836,381282,4371,261221.5015,3889801.45,-119.620325,35.122783,m,42,99,"tail whole, scar behind left eye",NA,NA,c(808000.389563057, 3891889.20809416)
980,1115,39722,1,1254,2017,below,shrub,270,4.2891502,724,0.0056337,0.001343,0.250333,380033,7937,261201.5015,3889041.45,-119.620325,35.115932,m,37,100,"tail tipped, mites",NA,NA,c(808026.216801493, 3891128.99302338)
980,1114,39722,1,1217,2017,below,shrub,270,4.2891502,724,0.0056337,0.001343,0.250333,380033,7937,261201.5015,3889041.45,-119.620325,35.115932,m,37,100,"tail tipped, mites",NA,NA,c(808026.216801493, 3891128.99302338)
64,1221,40054,1,2119,2018,above,open,281.3099976,3.64697,723,0.0056658,0.0187774,0.239142,379699,6471,261201.5015,3889061.45,-119.620331,35.116113,m,32.48,104,intact,190,8,c(808024.987455988, 3891149.05893477)
64,1223,40054,1,2509,2018,above,open,281.3099976,3.64697,723,0.0056658,0.0187774,0.239142,379699,6471,261201.5015,3889061.45,-119.620331,35.116113,m,32.48,104,intact,190,8,c(808024.987455988, 3891149.05893477)
64,1222,40054,1,2177,2018,above,open,281.3099976,3.64697,723,0.0056658,0.0187774,0.239142,379699,6471,261201.5015,3889061.45,-119.620331,35.116113,m,32.48,104,intact,190,8,c(808024.987455988, 3891149.05893477)
13,25181,40386,0,NA,2018,below,open,270,2.8624101,723,0.0052287,0.0249158,0.230574,380466,2227,261201.5015,3889081.45,-119.620336,35.116293,m,36.69,113,intact,205,24,c(808023.853055763, 3891169.01697977)
k,251811,40386,0,NA,2016,below,open,270,2.8624101,723,0.0052287,0.0249158,0.230574,380466,2227,261201.5015,3889081.45,-119.620336,35.116293,m,29,104,NA,NA,NA,c(808023.853055763, 3891169.01697977)
c,1413,40718,1,1077,2016,above,open,296.5650024,3.1996,723,0.004712,0.0057678,0.230443,379524,7470,261201.5015,3889101.45,-119.620342,35.116473,m,42.5,107,NA,NA,NA,c(808022.627478334, 3891188.97192777)
64,6940,53667,0,NA,2018,below,shrub,270,2.1475899,742,0,0.0186519,0.202949,381204,725,261221.5015,3889881.45,-119.620348,35.123504,m,32.48,104,intact,190,8,c(807995.574374128, 3891969.14199987)
99,2707,41050,0,NA,2018,above,shrub,315,4.0446901,722,0.0046408,0.0260752,0.235265,378200,3796,261201.5015,3889121.45,-119.620348,35.116653,f,22.79,92,intact,178,3,c(808021.401900276, 3891208.92687611)
640,2807,41382,0,NA,2017,above,shrub,300.9639893,4.1687398,721,0.0052598,0.0318099,0.232584,378452,6102,261201.5015,3889141.45,-119.620354,35.116833,f,32,98,"tail tipped possibly, two eggs",NA,NA,c(808020.176321596, 3891228.88182478)
800,1705,41714,1,1505,2017,above,open,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,42,99,"tail whole, scar behind left eye",NA,NA,c(808019.041917864, 3891248.83987114)
v,1701,41714,1,467,2016,above,open,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1704,41714,1,1074,2016,above,shrub,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1703,41714,1,477,2016,above,shrub,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1700,41714,1,466,2016,above,shrub,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1699,41714,1,462,2016,below,open,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1702,41714,1,470,2016,above,shrub,273.3659973,6.0753298,720,0.0060845,0.0590971,0.202442,378308,4775,261201.5015,3889161.45,-119.620359,35.117013,m,33.5,93,NA,NA,NA,c(808019.041917864, 3891248.83987114)
v,1796,42046,1,456,2016,below,open,259.5090027,9.7381802,720,0.0064112,0.0144075,0.173337,376513,1116,261201.5015,3889181.45,-119.620365,35.117193,m,33.5,93,NA,NA,NA,c(808017.816337728, 3891268.79482049)
v,1797,42046,1,458,2016,below,open,259.5090027,9.7381802,720,0.0064112,0.0144075,0.173337,376513,1116,261201.5015,3889181.45,-119.620365,35.117193,m,33.5,93,NA,NA,NA,c(808017.816337728, 3891268.79482049)
